CityID,ProvinceID,CityCode,ProvinceNameC,CityNameC
110100,110000,110100,北京市,北京市
120100,120000,120100,天津市,天津市
130100,130000,130100,河北省,石家庄市
130200,130000,130200,河北省,唐山市
130300,130000,130300,河北省,秦皇岛市
130400,130000,130400,河北省,邯郸市
130500,130000,130500,河北省,邢台市
130600,130000,130600,河北省,保定市
130700,130000,130700,河北省,张家口市
130800,130000,130800,河北省,承德市
130900,130000,130900,河北省,沧州市
131000,130000,131000,河北省,廊坊市
131100,130000,131100,河北省,衡水市
140100,140000,140100,山西省,太原市
140200,140000,140200,山西省,大同市
140300,140000,140300,山西省,阳泉市
140400,140000,140400,山西省,长治市
140500,140000,140500,山西省,晋城市
140600,140000,140600,山西省,朔州市
140700,140000,140700,山西省,晋中市
140800,140000,140800,山西省,运城市
140900,140000,140900,山西省,忻州市
141000,140000,141000,山西省,临汾市
141100,140000,141100,山西省,吕梁市
150100,150000,150100,内蒙古自治区,呼和浩特市
150200,150000,150200,内蒙古自治区,包头市
150300,150000,150300,内蒙古自治区,乌海市
150400,150000,150400,内蒙古自治区,赤峰市
150500,150000,150500,内蒙古自治区,通辽市
150600,150000,150600,内蒙古自治区,鄂尔多斯市
150700,150000,150700,内蒙古自治区,呼伦贝尔市
150800,150000,150800,内蒙古自治区,巴彦淖尔市
150900,150000,150900,内蒙古自治区,乌兰察布市
152200,150000,152200,内蒙古自治区,兴安盟
152500,150000,152500,内蒙古自治区,锡林郭勒盟
152900,150000,152900,内蒙古自治区,阿拉善盟
210100,210000,210100,辽宁省,沈阳市
210200,210000,210200,辽宁省,大连市
210300,210000,210300,辽宁省,鞍山市
210400,210000,210400,辽宁省,抚顺市
210500,210000,210500,辽宁省,本溪市
210600,210000,210600,辽宁省,丹东市
210700,210000,210700,辽宁省,锦州市
210800,210000,210800,辽宁省,营口市
210900,210000,210900,辽宁省,阜新市
211000,210000,211000,辽宁省,辽阳市
211100,210000,211100,辽宁省,盘锦市
211200,210000,211200,辽宁省,铁岭市
211300,210000,211300,辽宁省,朝阳市
211400,210000,211400,辽宁省,葫芦岛市
220100,220000,220100,吉林省,长春市
220200,220000,220200,吉林省,吉林市
220300,220000,220300,吉林省,四平市
220400,220000,220400,吉林省,辽源市
220500,220000,220500,吉林省,通化市
220600,220000,220600,吉林省,白山市
220700,220000,220700,吉林省,松原市
220800,220000,220800,吉林省,白城市
222400,220000,222400,吉林省,延边朝鲜族自治州
230100,230000,230100,黑龙江省,哈尔滨市
230200,230000,230200,黑龙江省,齐齐哈尔市
230300,230000,230300,黑龙江省,鸡西市
230400,230000,230400,黑龙江省,鹤岗市
230500,230000,230500,黑龙江省,双鸭山市
230600,230000,230600,黑龙江省,大庆市
230700,230000,230700,黑龙江省,伊春市
230800,230000,230800,黑龙江省,佳木斯市
230900,230000,230900,黑龙江省,七台河市
231000,230000,231000,黑龙江省,牡丹江市
231100,230000,231100,黑龙江省,黑河市
231200,230000,231200,黑龙江省,绥化市
232700,230000,232700,黑龙江省,大兴安岭地区
310100,310000,310100,上海市,上海市
320100,320000,320100,江苏省,南京市
320200,320000,320200,江苏省,无锡市
320300,320000,320300,江苏省,徐州市
320400,320000,320400,江苏省,常州市
320500,320000,320500,江苏省,苏州市
320600,320000,320600,江苏省,南通市
320700,320000,320700,江苏省,连云港市
320800,320000,320800,江苏省,淮安市
320900,320000,320900,江苏省,盐城市
321000,320000,321000,江苏省,扬州市
321100,320000,321100,江苏省,镇江市
321200,320000,321200,江苏省,泰州市
321300,320000,321300,江苏省,宿迁市
330100,330000,330100,浙江省,杭州市
330200,330000,330200,浙江省,宁波市
330300,330000,330300,浙江省,温州市
330400,330000,330400,浙江省,嘉兴市
330500,330000,330500,浙江省,湖州市
330600,330000,330600,浙江省,绍兴市
330700,330000,330700,浙江省,金华市
330800,330000,330800,浙江省,衢州市
330900,330000,330900,浙江省,舟山市
331000,330000,331000,浙江省,台州市
331100,330000,331100,浙江省,丽水市
340100,340000,340100,安徽省,合肥市
340200,340000,340200,安徽省,芜湖市
340300,340000,340300,安徽省,蚌埠市
340400,340000,340400,安徽省,淮南市
340500,340000,340500,安徽省,马鞍山市
340600,340000,340600,安徽省,淮北市
340700,340000,340700,安徽省,铜陵市
340800,340000,340800,安徽省,安庆市
341000,340000,341000,安徽省,黄山市
341100,340000,341100,安徽省,滁州市
341200,340000,341200,安徽省,阜阳市
341300,340000,341300,安徽省,宿州市
341400,340000,341400,安徽省,巢湖市
341500,340000,341500,安徽省,六安市
341600,340000,341600,安徽省,亳州市
341700,340000,341700,安徽省,池州市
341800,340000,341800,安徽省,宣城市
350100,350000,350100,福建省,福州市
350200,350000,350200,福建省,厦门市
350300,350000,350300,福建省,莆田市
350400,350000,350400,福建省,三明市
350500,350000,350500,福建省,泉州市
350600,350000,350600,福建省,漳州市
350700,350000,350700,福建省,南平市
350800,350000,350800,福建省,龙岩市
350900,350000,350900,福建省,宁德市
360100,360000,360100,江西省,南昌市
360200,360000,360200,江西省,景德镇市
360300,360000,360300,江西省,萍乡市
360400,360000,360400,江西省,九江市
360500,360000,360500,江西省,新余市
360600,360000,360600,江西省,鹰潭市
360700,360000,360700,江西省,赣州市
360800,360000,360800,江西省,吉安市
360900,360000,360900,江西省,宜春市
361000,360000,361000,江西省,抚州市
361100,360000,361100,江西省,上饶市
370100,370000,370100,山东省,济南市
370200,370000,370200,山东省,青岛市
370300,370000,370300,山东省,淄博市
370400,370000,370400,山东省,枣庄市
370500,370000,370500,山东省,东营市
370600,370000,370600,山东省,烟台市
370700,370000,370700,山东省,潍坊市
370800,370000,370800,山东省,济宁市
370900,370000,370900,山东省,泰安市
371000,370000,371000,山东省,威海市
371100,370000,371100,山东省,日照市
371200,370000,371200,山东省,莱芜市
371300,370000,371300,山东省,临沂市
371400,370000,371400,山东省,德州市
371500,370000,371500,山东省,聊城市
371600,370000,371600,山东省,滨州市
371700,370000,371700,山东省,荷泽市
410100,410000,410100,河南省,郑州市
410200,410000,410200,河南省,开封市
410300,410000,410300,河南省,洛阳市
410400,410000,410400,河南省,平顶山市
410500,410000,410500,河南省,安阳市
410600,410000,410600,河南省,鹤壁市
410700,410000,410700,河南省,新乡市
410800,410000,410800,河南省,焦作市
410900,410000,410900,河南省,濮阳市
411000,410000,411000,河南省,许昌市
411100,410000,411100,河南省,漯河市
